ID,TIPO DE PRODUCTO,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC
1,ACELGA,,,,,,,,,,,,
3,AJO,,,,,,,,,,,,
5,ALCACHOFA,,,,,,,,,,,,
6,APIO,,,,,,,,,,,,
7,BATATA,,,,,,,,,,,,
8,BERENJENA,,,,,,X,X,X,X,,,
9,BRÓCOLI,,,,,X,X,X,X,,,,
10,CALABACIN,,,,,,X,X,X,X,,,
11,CALABAZA,,,,,,,,,X,X,,
14,CEBOLLA,,,,,,,,X,,,,
16,CHAMPINON,,,,,,,,,,,,
18,COL,,,,,,,,,,,,
19,COL DE BRUSELAS,,,,,,,,,,,,
20,COLIFLOR,,,,,,,,,,,,
21,ENDIBIA,,,,,,,,,,,,
22,ESPARRAGO,,,,,,,,,,,,
23,ESPINACA,,,,,,,,X,X,,,
26,GUISANTE,,,,,,,,,,,,
27,HABAS,,X,X,,,,,,,,,
29,JUDIAS,,,,,,,X,X,X,,,
31,LECHUGA,,,,,,,X,X,,,,
34,MAIZ,,,,,,,,,,,,
40,NABO,,,,,,,,,,,,
44,PATATA,,,,,,,,X,,,,
45,PEPINO,,,,,,,X,X,,,,
47,PIMIENTO,,,,,,,X,X,X,,,
51,PUERRO,,,,,,,,,,,,
52,RABANO,,,,,,,,,,,,
53,REMOLACHA,,,,,,,,,,,,
55,TOMATE,,,,,,,X,X,X,,,
57,ZANAHORIA,,,,,,,,,,,,
